                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.70324,                0.44019,                0.99751,                0.70252,                0.72947,                 0.7477,                0.50796,                 1.2122,                0.89232,                  1.415,              0.0010171,              0.0010171,              0.0010171
                     80,                0.70868,                0.43513,                0.99258,                0.71277,                0.75203,                  0.762,                0.51675,                 1.2219,                0.88066,                 1.4293,              0.0010126,              0.0010126,              0.0010126
                     81,                0.69555,                0.42713,                0.98947,                 0.6769,                0.76456,                0.75875,                0.51666,                 1.2158,                0.87264,                 1.4378,              0.0010081,              0.0010081,              0.0010081
                     82,                 0.6892,                0.42253,                0.98456,                0.72582,                0.73982,                0.75455,                 0.5158,                 1.1946,                0.86015,                 1.4184,              0.0010035,              0.0010035,              0.0010035
                     83,                0.67798,                0.41308,                0.98139,                0.68102,                 0.7493,                0.74566,                0.50648,                 1.2228,                0.86538,                 1.4367,             0.00099882,             0.00099882,             0.00099882
                     84,                0.68011,                0.41904,                  0.983,                0.67598,                0.73679,                0.73796,                0.50382,                  1.213,                0.87817,                 1.4415,             0.00099413,             0.00099413,             0.00099413
                     85,                0.67228,                0.41321,                0.96973,                0.74275,                0.72824,                0.74893,                0.51389,                 1.1969,                0.85444,                 1.4249,              0.0009894,              0.0009894,              0.0009894
                     86,                0.66721,                0.41023,                0.97019,                0.73218,                0.74747,                0.75007,                0.50971,                 1.2211,                0.85684,                 1.4298,             0.00098463,             0.00098463,             0.00098463
                     87,                0.68939,                0.43673,                0.98013,                0.70686,                0.73187,                0.74539,                0.51245,                 1.2066,                 0.8493,                  1.436,             0.00097982,             0.00097982,             0.00097982
                     88,                  0.667,                0.41806,                0.97435,                0.69424,                0.74163,                0.74945,                0.51721,                 1.2104,                0.85592,                 1.4297,             0.00097496,             0.00097496,             0.00097496
                     89,                0.66339,                0.41163,                0.96825,                0.70948,                0.72773,                 0.7331,                0.50344,                 1.2162,                0.86989,                 1.4339,             0.00097007,             0.00097007,             0.00097007
                     90,                0.67538,                0.41875,                0.97351,                0.69314,                0.72177,                0.73223,                0.50176,                 1.2053,                0.87725,                 1.4289,             0.00096513,             0.00096513,             0.00096513
                     91,                0.65825,                0.40666,                0.96463,                0.69869,                0.72204,                0.74205,                0.50288,                 1.2235,                0.88435,                 1.4445,             0.00096016,             0.00096016,             0.00096016
                     92,                0.65873,                0.40642,                0.96937,                0.68476,                0.73233,                0.73591,                0.50088,                  1.215,                0.87341,                 1.4434,             0.00095514,             0.00095514,             0.00095514
                     93,                 0.6672,                0.41234,                0.96882,                0.70757,                0.71303,                0.73691,                0.50029,                 1.2365,                0.86952,                 1.4455,             0.00095009,             0.00095009,             0.00095009
                     94,                0.65573,                0.40361,                0.96971,                 0.6972,                 0.7484,                0.75052,                 0.5158,                 1.1952,                0.86021,                 1.4242,               0.000945,               0.000945,               0.000945
                     95,                0.64617,                0.39355,                0.96178,                0.67682,                0.75037,                0.74848,                0.51353,                 1.2001,                0.87207,                 1.4368,             0.00093988,             0.00093988,             0.00093988
