                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.2113,                0.57988,                 1.2736,                 0.9338,                0.92625,                0.96386,                0.63558,                 1.2149,                0.52068,                  1.343,               0.001817,               0.001817,               0.001817
                     62,                 1.2001,                0.59169,                 1.2738,                0.93143,                0.92386,                0.96036,                0.62227,                 1.2779,                0.54627,                 1.3488,              0.0018109,              0.0018109,              0.0018109
                     63,                 1.2446,                0.60312,                 1.2694,                0.92319,                0.92951,                0.95776,                0.57446,                 1.4511,                0.55991,                 1.4512,              0.0018048,              0.0018048,              0.0018048
                     64,                   1.22,                0.59832,                 1.2844,                0.94009,                0.92266,                0.96199,                0.63054,                 1.1966,                0.52556,                 1.3209,              0.0017986,              0.0017986,              0.0017986
                     65,                 1.2322,                0.60144,                 1.2951,                0.92753,                0.91714,                0.95868,                0.62811,                  1.195,                0.53395,                 1.3264,              0.0017923,              0.0017923,              0.0017923
                     66,                 1.2065,                0.58782,                 1.2423,                0.91833,                0.92207,                0.95891,                 0.6381,                 1.1809,                0.52605,                 1.3183,              0.0017859,              0.0017859,              0.0017859
                     67,                 1.1981,                0.57578,                 1.2685,                0.92213,                0.92283,                0.95688,                0.62318,                 1.2174,                0.53232,                  1.324,              0.0017794,              0.0017794,              0.0017794
                     68,                 1.1951,                0.58467,                   1.26,                0.93246,                0.92266,                0.95772,                0.60878,                 1.3055,                0.54094,                 1.3652,              0.0017728,              0.0017728,              0.0017728
                     69,                 1.2242,                0.58478,                 1.2786,                0.93059,                0.92625,                0.95658,                0.60751,                 1.2896,                0.56468,                 1.3574,              0.0017662,              0.0017662,              0.0017662
                     70,                 1.2219,                0.58907,                 1.2691,                0.92655,                0.93038,                0.96056,                0.62548,                 1.2546,                0.52617,                 1.3389,              0.0017594,              0.0017594,              0.0017594
                     71,                 1.1812,                0.55845,                 1.2601,                0.94316,                0.93013,                0.96614,                0.62522,                 1.2544,                0.51405,                 1.3424,              0.0017526,              0.0017526,              0.0017526
                     72,                 1.1752,                 0.5469,                 1.2354,                0.92557,                0.93571,                0.96502,                0.62712,                 1.2323,                0.52029,                 1.3358,              0.0017457,              0.0017457,              0.0017457
                     73,                 1.1832,                 0.5677,                 1.2494,                0.93246,                0.94402,                0.96461,                0.64096,                 1.1907,                0.49371,                 1.3186,              0.0017387,              0.0017387,              0.0017387
                     74,                 1.1628,                0.56637,                 1.2516,                 0.9411,                0.92057,                0.96335,                0.63201,                 1.2335,                0.51386,                  1.333,              0.0017317,              0.0017317,              0.0017317
                     75,                 1.1811,                0.55466,                 1.2553,                0.92164,                0.92834,                0.96012,                0.63556,                 1.2005,                0.52615,                 1.3243,              0.0017245,              0.0017245,              0.0017245
                     76,                 1.1726,                0.55289,                 1.2483,                0.93335,                 0.9366,                0.96465,                0.61848,                 1.2827,                0.51786,                 1.3547,              0.0017173,              0.0017173,              0.0017173
                     77,                 1.2058,                0.57847,                 1.2518,                0.93746,                0.91878,                0.96268,                0.62949,                 1.2313,                0.52217,                 1.3412,                0.00171,                0.00171,                0.00171
                     78,                 1.1786,                0.55454,                 1.2384,                 0.9229,                0.93288,                0.96303,                0.63681,                 1.1906,                0.53762,                 1.3253,              0.0017027,              0.0017027,              0.0017027
                     79,                 1.2284,                0.58746,                 1.2744,                0.93163,                0.92147,                0.95795,                0.59681,                 1.3396,                0.54608,                 1.3864,              0.0016952,              0.0016952,              0.0016952
                     80,                 1.1934,                0.57387,                 1.2638,                0.92305,                0.93311,                0.95605,                0.63589,                 1.1571,                0.52573,                 1.3068,              0.0016877,              0.0016877,              0.0016877
                     81,                 1.1791,                0.56282,                 1.2588,                0.92505,                0.92953,                0.95918,                0.62536,                 1.2582,                0.50841,                 1.3441,              0.0016801,              0.0016801,              0.0016801
                     82,                 1.1802,                0.55918,                 1.2279,                0.93218,                0.92748,                0.96038,                0.62208,                 1.2569,                0.53047,                 1.3431,              0.0016724,              0.0016724,              0.0016724
                     83,                 1.1775,                0.55343,                 1.2429,                0.92729,                0.93819,                0.96373,                0.64199,                 1.1874,                0.50204,                  1.312,              0.0016647,              0.0016647,              0.0016647
                     84,                 1.1647,                0.54577,                 1.2401,                0.93534,                0.92684,                0.96126,                0.61909,                 1.2926,                0.52011,                 1.3653,              0.0016569,              0.0016569,              0.0016569
                     85,                  1.168,                0.54874,                 1.2381,                0.93688,                0.92983,                0.96288,                0.62273,                 1.2671,                0.51306,                 1.3481,               0.001649,               0.001649,               0.001649
                     86,                 1.1276,                0.53733,                 1.2138,                0.92781,                0.93645,                0.96111,                0.61521,                 1.2796,                0.51819,                 1.3458,               0.001641,               0.001641,               0.001641
                     87,                 1.1436,                0.53545,                 1.2132,                0.93474,                0.92806,                0.96167,                0.63221,                 1.2251,                 0.4979,                 1.3274,               0.001633,               0.001633,               0.001633
